单词,次数
wonderful,7
felt,7
need,7
something,7
strange,7
after,7
quickly,7
saw,7
us,7
people,7
so,7
quietly,7
answer,7
slowly,7
window,7
them,6
quiet,6
coming,6
heard,6
open,6
front,6
away,6
three,6
wishes,6
well,6
died,6
more,6
please,6
house,6
machinery,6
road,5
friends,5
are,5
smiled,5
young,5
had,5
much,5
hes,5
just,5
told,5
listened,5
many,5
talking,5
moved,5
last,5
know,5
end,5
take,5
listen,5
wait,5
think,5
make,5
thought,5
true,5
thousand,5
cry,5
morning,5
help,5
downstairs,5
when,4
lot,4
men,4
hear,4
perhaps,4
finish,4
thank,4
whisky,4
wanted,4
one,4
tell,4
soldiers,4
look,4
an,4
or,4
without,4
unhappy,4
cant,4
dinner,4
evening,4
thirty,4
pounds,4
matter,4
sleep,4
happy,3
carefully,3
windows,3
saidbut,3
worked,3
before,3
sit,3
better,3
day,3
interesting,3
magic,3
youre,3
gave,3
ask,3
accident,3
course,3
sometimes,3
ok,3
isnt,3
goodbye,3
needed,3
candle,3
breakfast,3
nobody,3
thing,3
over,3
welldressed,3
sorry,3
whites,3
called,3
days,3
by,3
boy,3
stop,2
played,2
nearly,2
worse,2
bad,2
answeredits,2
thats,2
someone,2
chair,2
coat,2
pleased,2
meet,2
big,2
lets,2
years,2
country,2
yesherbert,2
oh,2
lose,2
here,2
say,2
pocket,2
dirty,2
saidand,2
saidthis,2
indian,2
saidthe,2
never,2
third,2
die,2
finished,2
answeredi,2
car,2
brings,2
unhappiness,2
saidperhaps,2
criedyoure,2
saidi,2
againwhat,2
careful,2
moneyof,2
saidwell,2
hands,2
opened,2
toms,2
table,2
forgot,2
late,2
exciting,2
soon,2
wasnt,2
happen,2
always,2
criedthe,2
move,2
happened,2
saidits,2
arent,2
tired,2
left,2
next,2
winter,2
sun,2
work,2
has,2
laugh,2
drank,2
later,2
answeredhes,2
looking,2
factory,2
couldnt,2
cemetery,2
sadly,2
bedroom,2
made,2
minutebut,1
number,1
castle,1
warmold,1
chess,1
liked,1
togetherherberts,1
thoughtwe,1
forty,1
born,1
trueherbert,1
uplisten,1
morriscoming,1
tonight,1
seven,1
oclockthe,1
listenherbert,1
saidtheres,1
doornow,1
saidcome,1
bigredfaced,1
together,1
answeredplease,1
saidover,1
hereits,1
youthe,1
whiskyold,1
saidyou,1
bottle,1
drink,1
interest,1
visitor,1
far,1
sontom,1
twentyone,1
saidid,1
like,1
tooher,1
whiskyno,1
criedstay,1
stopbut,1
morriswhat,1
begin,1
quicklywellnothing,1
important,1
againslowly,1
pocketthe,1
carefullyand,1
sonherberttook,1
wellwhat,1
itmr,1
pawa,1
pawherbert,1
laughedwhy,1
carry,1
pocketmr,1
wellyou,1
saiddont,1
laughboyremember,1
youngim,1
wonderfulherbert,1
these,1
bring,1
happinessthe,1
teach,1
somethingits,1
change,1
yesmorris,1
quietlyand,1
askedand,1
everybody,1
thingsa,1
fast,1
difficultymy,1
wished,1
latemy,1
child,1
saidwhy,1
nowyou,1
how,1
someonethe,1
youthenafter,1
minutehe,1
youbutof,1
mebut,1
rememberthis,1
thinkquickly,1
unhappybut,1
saidmake,1
quietlyok,1
remember,1
