单词,次数
记下来,1
认识,1
他杰基,1
看狗,1
包里杰,1
黑黑的,1
恐惧,1
大声,1
这么,1
多年,1
幸福,1
一起,1
理睬,1
警车,1
注视,1
the,238
to,189
and,146
a,90
was,86
you,74
her,62
in,59
at,51
went,49
wanted,47
of,44
his,44
very,42
about,40
walsh,40
said,39
for,39
mother,38
she,36
i,36
going,33
looked,33
your,33
is,32
want,28
room,28
it,27
did,27
with,26
he,26
money,25
jackie,25
on,24
my,24
inspector,24
house,23
roger,23
came,22
this,22
put,22
dont,22
not,22
tell,22
talk,20
some,20
me,20
didnt,19
into,18
angry,18
like,18
diane,18
molly,17
up,17
all,17
be,16
need,16
last,16
more,16
face,16
clarkson,15
from,15
everyone,15
sat,15
stood,15
began,14
that,14
kill,14
got,14
know,14
were,14
loved,14
briggs,14
sergeant,14
took,13
down,13
go,13
hot,13
tom,13
foster,13
told,13
then,12
are,12
because,12
asked,12
door,12
tablets,12
opened,12
albert,12
sleeping,12
night,12
lot,11
old,11
get,11
dogs,11
hobbs,11
can,11
found,11
kitchen,10
phone,10
here,10
back,10
out,10
next,10
peter,10
bed,10
im,10
see,10
coffee,10
bottle,10
dianes,10
wants,9
always,9
but,9
eyes,9
long,9
an,9
good,9
empty,9
dr,9
pratt,9
police,9
family,8
come,8
saidshe,8
two,8
across,8
hands,8
mollys,8
table,8
stopped,8
watched,8
we,8
happy,8
garden,8
mothers,8
again,8
killed,8
chapter,7
half,7
village,7
no,7
felt,7
first,7
black,7
suddenly,7
mr,7
love,7
cup,7
now,7
them,7
mrs,7
clarksons,7
milk,7
one,6
day,6
cigarette,6
bag,6
front,6
man,6
am,6
expensive,6
doesnt,6
would,6
say,6
upstairs,6
left,6
time,6
downstairs,6
made,6
rogers,6
month,6
gave,6
or,5
beautiful,5
thursday,5
years,5
wore,5
have,5
big,5
work,5
hat,5
after,5
lost,5
slowly,5
hair,5
someone,5
job,5
things,5
him,5
before,5
quietly,5
there,5
window,5
by,5
nothing,5
had,4
morning,4
yesi,4
sandwiches,4
car,4
uncle,4
once,4
shes,4
much,4
needs,4
saidand,4
farmhe,4
dirty,4
has,4
walked,4
moved,4
cant,4
early,4
motheri,4
hand,4
dead,4
needed,4
ask,4
detectives,4
office,4
saidhe,4
young,4
think,4
girl,4
listen,4
lived,3
mile,3
drink,3
saidim,3
train,3
ticket,3
call,3
downshe,3
sister,3
never,3
its,3
ran,3
closed,3
later,3
wait,3
letterhe,3
motheryou,3
hes,3
saturday,3
drove,3
white,3
husband,3
dress,3
dark,3
blue,3
red,3
called,3
thats,3
worse,3
loves,3
little,3
minute,3
talking,3
ill,3
smiled,3
dianeyou,3
drank,3
meet,3
new,3
himhe,3
saidi,3
rogeri,3
every,3
finished,3
lets,3
nearly,3
quickly,3
died,3
youyou,3
nowbut,3
knew,3
carefully,3
talked,3
waited,3
sitting,3
behind,3
nice,3
usually,3
tennis,3
what,3
happened,3
so,3
tired,3
mothershe,3
sell,3
questions,3
wrote,3
moneyhe,3
they,3
carhe,3
picture,3
do,3
true,3
nearest,2
