单词,次数
往前走,1
法官大人,1
富有,1
地位,1
显赫,1
无情,1
我时,1
变红,1
挺贵,1
眼神,1
看出,1
别忘了,1
拉倒,1
那全,1
用手,1
挡住,1
那张,1
拉出,1
吵嚷,1
声,1
止住,1
面带,1
倦容,1
红红的,1
一声不吭,1
接下来,1
带进,1
真想,1
长长的,1
拖,1
件,1
认出,1
我来,1
胖乎乎,1
缘故,1
听到,1
拉,1
从此,1
变得,1
走路,1
一脸,1
病容,1
以及,1
很生,1
气不过,1
黑黑的,1
人肯,1
领,1
等,1
嚷声,1
笑,1
结束,1
好孩子,1
押出,1
过得,1
盼望,1
仅此而已,1
从不,1
跑掉,1
因此,1
我错,1
幸福,1
很多年,1
忘记,1
我学,1
做饭,1
虽然,1
每天,1
长时间,1
每个,1
星期天,1
最好,1
衣服,1
祈祷,1
每年,1
夏天,1
漫步,1
愉快,1
得到,1
对此,1
深信不疑,1
来看,1
疲劳,1
实话,1
所说,1
扯谎,1
尽量,1
地待,1
帮,1
只是,1
说谎,1
对抗,1
仇恨,1
在世,1
议论,1
流传,1
来自,1
任何人,1
制作,1
养过,1
凝望,1
山顶,1
那片,1
孩提时代,1
挨饿受冻,1
丧生,1
陷入,1
苦难,1
重归,1
正在,1
永远,1
摆脱,1
这儿,1
the,250
and,234
i,189
to,151
was,112
a,109
my,105
of,79
at,62
me,62
in,52
nowell,50
mr,48
he,46
mother,44
you,41
said,40
her,40
with,38
his,38
she,38
is,35
on,34
it,32
old,32
because,32
about,31
but,29
for,29
s,27
alizon,27
looked,26
go,25
can,25
wanted,25
t,25
want,24
began,23
dog,23
him,22
not,22
we,22
again,21
read,21
all,20
your,20
from,19
told,19
james,19
lancaster,18
guards,18
day,18
up,18
witch,18
child,18
castle,17
some,17
room,17
man,17
us,17
were,17
face,17
went,17
very,16
judge,16
no,15
then,15
near,15
big,15
im,15
down,15
didn,15
that,15
called,15
truth,15
angry,15
family,15
sat,15
ran,15
when,15
cold,14
out,14
hill,14
going,14
people,14
malkin,14
came,14
hungry,13
there,13
they,13
door,13
floor,13
back,13
years,13
law,13
never,13
are,12
after,12
home,12
father,12
men,12
afraid,12
re,12
hall,12
demdike,12
eyes,11
many,11
be,11
saw,11
village,11
grandmother,11
must,11
prison,10
across,10
webster,10
into,10
rich,10
followed,10
john,10
kill,10
killed,10
pedlar,9
put,9
device,9
warm,9
pendle,9
quietly,9
know,9
robinson,9
them,9
witches,9
now,9
tell,9
brother,9
walked,9
front,9
took,9
talk,9
dirty,8
name,8
jennet,8
here,8
come,8
too,8
house,8
tower,8
sister,8
dead,8
felt,8
cursed,8
roger,8
servant,8
stood,8
food,8
got,8
bromley,8
women,7
guard,7
hair,7
brought,7
lies,7
died,7
ill,7
fire,7
good,7
bad,7
did,7
villagers,7
friends,7
clay,7
over,7
hated,7
or,6
so,6
am,6
sit,6
see,6
dark,6
slowly,6
says,6
brown,6
eat,6
asked,6
story,6
behind,6
dont,6
an,6
their,6
look,6
like,6
give,6
shouted,6
help,6
care,6
pictures,6
pulled,6
nothing,6
always,5
get,5
bread,5
one,5
beautiful,5
someone,5
church,5
suddenly,5
angrily,5
minute,5
little,5
table,5
edmund,5
take,5
yes,5
happy,5
run,5
more,5
watched,5
mouth,5
along,5
money,5
lot,5
red,5
hit,5
move,5
away,5
important,5
woman,5
next,5
hot,5
kind,5
laughed,5
find,5
barley,5
tired,4
time,4
cry,4
newchurch,4
say,4
miles,4
through,4
year,4
life,4
shoes,4
had,4
before,4
met,4
fat,4
stopped,4
don,4
cried,4
son,4
