单词,次数
整夜,1
赢罗阿尔,1
懂雪性,1
懂,1
如此,1
无论如何,1
理解,1
宁静,1
思考,1
摆在面前,1
轻声,1
地问,1
显得,1
一脸,1
这太早,1
做法,1
冷冷地,1
取得胜利,1
聆听,1
窗外,1
谈论,1
情况,1
努力,1
踢足球,1
编了,1
定名,1
时报,1
翻阅,1
书籍,1
人学,1
保养,1
两度,1
不算,1
反而,1
走奥茨,1
窗户,1
用,1
钢笔,1
划,1
条线,1
小小的,1
写下,1
日期,1
出师不利,1
搬,1
户外,1
狗拉着,1
地上,1
升起,1
半小时,1
只好,1
直至,1
低温,1
南奔,1
留守,1
起初,1
一切顺利,1
星期六,1
星期天,1
不难,1
星期一,1
白茫茫,1
看不到,1
即使如此,1
下来,1
修筑,1
雪屋,1
屋内,1
心,1
沉重,1
讲,1
过罗阿尔,1
即使,1
为时过早,1
变,1
恼怒,1
明白,1
屋去,1
折回,1
离,1
屋有,1
扑面,1
整日,1
不歇有,1
两条,1
半路,1
屋时,1
马上,1
调头,1
终于,1
抛,1
空,1
往回,1
越来越快,1
领先,1
三四,1
独领风骚,1
下午,1
点钟,1
最后,1
更慢,1
湿,1
光,1
黑暗,1
赶回,1
半夜,1
大发,1
其火,1
当着,1
太早,1
早,1
听不进去,1
扔下,1
搞,1
孤立无援,1
冰天雪地,1
强,1
起先,1
一言不发,1
骂,1
有理,1
一封信,1
信中,1
不必,1
之时,1
向东,1
赶到,1
爱德华,1
七世,1
斯塔,1
伯鲁德,1
同去,1
床上,1
现有,1
出现,1
人随,1
同往,1
闲着,1
不好,1
别人,1
着想,1
一旦,1
睡,1
可不是,1
愿意,1
其他,1
走得,1
总会,1
进雪里,1
体力,1
消耗,1
十三四,1
驾,1
懂得,1
先到,1
追上,1
共人,1
狂风,1
呼啸,1
第一天,1
忽然,1
停住,1
后部,1
陷,1
下去,1
使劲,1
狂怒,1
一动不动,1
边,1
探头,1
往下,1
一看,1
之下,1
有个,1
深,1
大洞,1
刚才,1
这洞,1
冰窟窿,1
吃掉,1
人狗,1
第天,1
漫天遍野,1
呆,1
嬉闹,1
情绪,1
高,1
充足,1
精良,1
驾驶,1
全坏,1
正拉着,1
凭,1
人困马乏,1
不同,1
对于,1
家,1
那晚,1
每辆,1
价值,1
每匹,1
每条,1
花钱,1
掏,1
腰包,1
高耸,1
而立,1
属于,1
最高,1
山脉,1
笑容,1
上去,1
山上,1
一小,1
段,1
可不,1
巍峨,1
秀丽,1
尽情,1
领略,1
通往,1
之,1
带到,1
一场,1
之上,1
飞滑,1
仿佛,1
家中,1
辽阔,1
内群,1
爬,1
坡,1
德站,1
虽然,1
心花怒放,1
得来,1
靠,1
上山,1
地一滑,1
横越,1
活泼,1
欢快,1
丧生,1
处死,1
活着,1
养胖,1
过后,1
弥漫,1
隐有,1
无数,1
冰洞,1
完全,1
被,1
裹,1
这太,1
天内,1
蓝绿,1
白三色,1
迷人,1
不愿,1
久留,1
走过,1
遇到,1
凛冽,1
一派,1
至,1
过个,1
完成,1
天来,1
太冷,1
令,1
不堪,1
忍受,1
奥茨杀,1
几匹,1
登上,1
做到,1
个个,1
第二辆,1
既然,1
不太会,1
不如,1
丢,1
穿,1
不了,1
身体,1
很棒,1
上装,1
供,1
扔,1
特,1
迪斯科,1
特说,1
照,1
的话,1
跟,1
随着,1
精力旺盛,1
却是,1
总是,1
看来,1
状况,1
不妙,1
阳光明媚,1
丢下,1
赶去,1
前头,1
群有,1
这回,1
表现,1
向前,1
停下,1
属员,1
笑了笑,1
样,1
渐渐,1
顶上,1
国王,1
以北,1
北方,1
可爱,1
极快,1
无法,1
每座,1
欢声笑语,1
山下,1
星期五,1
凌晨,1
点,1
正酣,1
睡着,1
床前,1
早上好,1
咖啡,1
好了吗,1
等候,1
上帝,1
所有人,1
小黑,1
两公里,1
顶,1
简直,1
透,1
疲惫不堪,1
手脚冰凉,1
位,1
心力交瘁,1
情绪低落,1
妻子,1
凯思林,1
晨报,1
登着,1
长时间,1
消息,1
哭泣,1
可怜,1
丈夫,1
夫人,1
饥肠辘辘,1
设,1
找,1
费事,1
必须,1
屋奥茨,1
怎样,1
这太难,1
够,1
人病,1
交加,1
发黑,1
失去,1
感觉,1
辞世,1
翻过,1
死马,1
生病,1
保暖,1
肿,1
拉不动,1
连,1
吃力,1
保得住,1
说不出来,1
另,1
日渐,1
恶化,1
生日,1
年满,1
极度,1
饥寒交迫,1
交给,1
起身,1
门前,1
犹豫,1
出去,1
或许,1
一阵子,1
才能,1
再也,1
翘首,1
驶来,1
离去,1
整整,1
两周,1
内有,1
具,1
葬,1
书信,1
往北,1
读,1
内容,1
奥茨死,1
汉子,1
逊色,1
记住,1
照看,1
家人,1
尽,1
全力,1
风雪,1
某处,1
the,303
to,125
a,88
and,85
was,75
on,69
in,67
were,66
of,64
at,59
they,49
dogs,42
men,35
for,31
went,30
is,30
his,30
very,28
all,25
it,24
looked,23
go,23
their,23
are,22
not,22
scott,20
going,20
with,20
south,20
ponies,20
sledges,20
he,19
kilometres,19
can,19
there,19
two,18
you,17
flag,17
said,17
first,17
one,16
we,16
dont,16
cape,15
back,14
that,14
pole,14
put,14
cant,14
motor,14
this,13
them,13
more,13
