单词,次数
road,4
hands,4
long,4
doesnt,4
hates,4
three,4
has,4
twenty,4
things,4
lies,4
loved,4
leave,4
rule,4
have,4
wants,4
found,4
clothes,4
weeks,4
henryi,4
sit,4
try,4
saidim,4
drank,4
inside,4
helped,4
morays,4
other,4
evening,4
something,4
red,4
wicked,4
minutes,4
stupid,4
floor,4
oh,4
cry,4
waited,4
kirk,4
ofield,4
downstairs,4
wedding,4
heard,4
through,4
fotheringhay,3
name,3
week,3
cold,3
thats,3
home,3
dog,3
watched,3
front,3
forget,3
minute,3
lie,3
knew,3
right,3
pen,3
meet,3
believe,3
francis,3
new,3
important,3
off,3
near,3
lordsi,3
their,3
saidyour,3
women,3
without,3
look,3
need,3
husbandi,3
stories,3
danced,3
stairs,3
tall,3
friendly,3
stop,3
those,3
interested,3
rooms,3
always,3
worked,3
hard,3
small,3
lordi,3
knife,3
hand,3
bad,3
held,3
towards,3
mehe,3
quiet,3
smile,3
quickly,3
listen,3
dunbar,3
th,3
met,3
who,3
killers,3
under,3
stole,3
white,3
head,3
axe,3
curle,2
january,2
couldnt,2
goes,2
london,2
unhappily,2
queens,2
free,2
husbands,2
window,2
ten,2
last,2
saw,2
nearly,2
thinks,2
majestyhe,2
marys,2
needs,2
saidgive,2
arent,2
bring,2
would,2
lived,2
year,2
illand,2
wasnt,2
any,2
more,2
arrived,2
eighteen,2
sea,2
pleased,2
streets,2
sunday,2
tooi,2
change,2
shouted,2
saidbut,2
hate,2
pray,2
called,2
knox,2
famous,2
churchman,2
daughter,2
let,2
cried,2
words,2
himhe,2
thing,2
between,2
robert,2
friendshe,2
dudley,2
suddenly,2
fell,2
thisi,2
thoughtshe,2
dancing,2
felt,2
married,2
halfbrother,2
tried,2
south,2
stopped,2
read,2
daybut,2
teach,2
needed,2
clever,2
sings,2
listened,2
death,2
opened,2
saidplease,2
eat,2
beside,2
hot,2
therehe,2
moved,2
saidwhy,2
get,2
another,2
screamed,2
herei,2
wrongi,2
saidwe,2
pregnant,2
nothe,2
take,2
afraidand,2
february,2
bed,2
nowdont,2
saiddont,2
bothwells,2
horse,2
news,2
garden,2
doors,2
fatherjames,2
europe,2
believed,2
times,2
wait,2
flag,2
picture,2
lochleven,2
keep,2
douglas,2
saidand,2
prayed,2
petticoat,2
englishmen,2
forgive,2
block,2
scotsshe,1
ago,1
north,1
windowone,1
houses,1
river,1
trees,1
along,1
happened,1
windowi,1
itqueens,1
bessmary,1
saidthen,1
prisonwhy,1
majestybecause,1
rightmary,1
saidshes,1
marriedand,1
peoplegood,1
catnolic,1
englandfrancescotlandspainsay,1
elizabethand,1
children,1
mejamesshe,1
quietlymy,1
sondoes,1
months,1
majestyi,1
oftenhow,1
memary,1
askeddoes,1
buthe,1
scotlandbessshe,1
saidnot,1
fore,1
deadremember,1
untrue,1
perhapsperhaps,1
whiteshe,1
afraidshe,1
